original_path,similarity,creativity_score,mse,lpips,composite_score,label
./data/ai/ai_gen_007.png,0.9902446269989014,0.009755373001098633,391.5581970214844,0.059996895492076874,0.19617769285162892,ai
./data/ai/ai_gen_001.png,0.9907220602035522,0.009277939796447754,279.6912841796875,0.07478688657283783,0.19123687061972328,ai
./data/ai/ai_gen_000.png,0.9694211483001709,0.0305788516998291,100.21843719482422,0.07335898280143738,0.16832992000374816,ai
./data/ai/ai_gen_002.png,0.9593964219093323,0.040603578090667725,177.17405700683594,0.09617333114147186,0.19564860100768292,ai
./data/ai/ai_gen_004.png,0.9839228391647339,0.016077160835266113,99.9826431274414,0.06298258155584335,0.15996969638138925,ai
./data/ai/ai_gen_009.png,0.9637503027915955,0.03624969720840454,131.76817321777344,0.09100240468978882,0.18395696594988808,ai
./data/ai/ai_gen_006.png,0.9864411950111389,0.013558804988861084,225.8844451904297,0.06387776136398315,0.18286583694551706,ai
./data/ai/ai_gen_008.png,0.5370744466781616,0.4629255533218384,1268.4854736328125,0.4015960693359375,0.4950823899344515,ai
./data/ai/ai_gen_003.png,0.9604873061180115,0.039512693881988525,79.01004791259766,0.09020186960697174,0.17011448986159752,ai
./data/ai/ai_gen_005.png,0.9881846904754639,0.011815309524536133,65.76301574707031,0.034441374242305756,0.13705462431781848,ai
./data/human/human_real_003.jpg,0.006178759504109621,0.9938212404958904,22524.369140625,1.2133644819259644,1.0259067019291905,human
./data/human/human_real_008.jpg,0.9490753412246704,0.05092465877532959,3158.580810546875,0.5410294532775879,0.430626668518308,human
./data/human/human_real_004.jpg,0.18935605883598328,0.8106439411640167,8546.2119140625,0.6152054667472839,0.7374047674177705,human
./data/human/human_real_000.jpg,0.9594326615333557,0.04056733846664429,3435.95654296875,0.5592520236968994,0.4356847234500621,human
./data/human/human_real_001.jpg,0.9614900350570679,0.03850996494293213,1677.7237548828125,0.5570383667945862,0.4135147263113628,human
./data/human/human_real_002.jpg,0.92015141248703,0.07984858751296997,3775.730712890625,0.5466256141662598,0.4472991352277982,human
